name RNA_exp_1 RNA_exp_2 RNA_exp_average DNA_sum_1 DNA_sum_2 DNA_sum_total num_mapped_barcodes num_integrated_barcodes var_start var_end gene_strand
TSS_11125_storz_regulondb,2945404,+ 55.1426481442243 54.0455184489002 54.5940832965622 22.9119524118249 22.4661518537271 45.378104265552 77 44 2945284 2945404 +
TSS_13467_regulondb,3477007,- 0.747511734218776 0.650787192938137 0.699149463578457 41.3313651350567 44.0336576333052 85.3650227683619 202 100 3477007 3477127 -
neg_control_3612330:3612480 0.650960938664866 0.622129339960371 0.636545139312618 40.333022982036 40.0539393049306 80.3869622869667 123 61 3612330 3612480 +
TSS_12352_storz,3253602,- 0.716798699522631 0.720691114481629 0.71874490700213 42.0801217498222 44.2904136544906 86.3705354043129 172 94 3253602 3253722 -
TSS_14891_storz,3840146,+ 0.784783307237569 0.930468490927397 0.857625899082483 39.1350123984112 38.5134031778179 77.6484155762291 144 79 3840026 3840146 +
TSS_14431_storz,3718711,+ 0.883778747167749 0.726656012532329 0.805217379850039 9.53416756134763 10.2060518421217 19.7402194034694 33 22 3718591 3718711 +
TSS_9703_storz_wanner,2576520,- 0.783909012580681 0.910975104941972 0.847442058761326 16.1232257712842 13.3513131016435 29.4745388729278 46 25 2576520 2576640 -
TSS_7960_storz,2076101,- 0.711620968525113 0.735696386954404 0.723658677739759 55.8572434615078 50.6451251788306 106.502368640338 192 98 2076101 2076221 -
TSS_14351_storz,3703269,+ 0.672604141229171 0.697431228901029 0.6850176850651 39.0351781831091 35.3039529129998 74.3391310961089 160 76 3703149 3703269 +
TSS_12282_regulondb,3238689,+ 0.663548457987675 0.702870986657785 0.68320972232273 44.0768060558636 47.6924309351979 91.7692369910615 192 95 3238569 3238689 +
TSS_7605_storz,1984028,- 0.772705034352092 0.753574683671743 0.763139859011918 20.4660141369242 20.155347663058 40.6213617999823 81 47 1984028 1984148 -
TSS_1123_regulondb,260453,+ 0.680601592974019 0.557384797394798 0.618993195184408 19.4676719839035 21.1823717477999 40.6500437317034 93 49 260333 260453 +
TSS_1508_storz,381687,- 0.729464078821007 0.714114311091538 0.721789194956273 156.190629840088 154.117801716568 310.308431556656 511 294 381687 381807 -
TSS_13115_storz,3422736,+ 0.676219987373229 0.640332780200175 0.658276383786702 46.7723298690195 42.6214995167852 89.3938293858047 172 87 3422616 3422736 +
TSS_8954_regulondb,2374936,- 0.789015671606102 0.730427534470546 0.759721603038324 53.8605591554664 52.6349843430178 106.495543498484 176 96 2374936 2375056 -
TSS_3173_storz,821991,+ 0.691500813948011 0.669421942599783 0.680461378273897 21.0151023210856 21.1823717477999 42.1974740688855 93 45 821871 821991 +
TSS_8443_storz,2220510,+ 0.653813707122041 0.588497270811434 0.621155488966737 31.0983580665946 35.6890869447779 66.7874450113726 112 58 2220390 2220510 +
TSS_2309_storz,599112,+ 0.75675605773102 0.678837521022503 0.717796789376761 68.9854427737299 74.2024901225959 143.187932896326 252 148 598992 599112 +
TSS_17049_storz,4367988,- 0.624510283109618 0.697744654307242 0.66112746870843 37.8371675994843 36.1384099818525 73.9755775813368 187 86 4367988 4368108 -
TSS_17245_storz,4407202,+ 0.895912098161963 0.776908741957156 0.83641042005956 18.4693298308828 19.3208905942053 37.7902204250882 83 38 4407082 4407202 +
neg_control_1217208:1217358 0.722130722432596 0.821128053752346 0.771629388092471 33.144959480287 27.6012722774362 60.7462317577232 109 62 1217208 1217358 +
TSS_3962_storz,1017944,- 0.857779331376263 0.857784392975663 0.857781862175963 47.6209206990871 50.8376921947197 98.4586128938068 184 103 1017944 1018064 -
TSS_4829_storz,1247329,+ 0.702089147678915 0.610324486617611 0.656206817148263 47.5710035914361 50.4525581629415 98.0235617543775 171 96 1247209 1247329 +
TSS_7643_regulondb,1990064,- 0.682417410951878 0.626782913196126 0.654600162074002 14.2263756805449 14.9560382340526 29.1824139145975 45 27 1990064 1990184 -
TSS_10864_storz,2883602,+ 0.771735659073012 0.826805767778557 0.799270713425785 15.823723125378 15.2127942552381 31.0365173806161 42 26 2883482 2883602 +
TSS_12513_storz,3300915,+ 0.791732330100552 0.737126109917203 0.764429220008878 72.0303863404431 71.6349299107413 143.665316251184 219 123 3300795 3300915 +
TSS_16918_storz,4339955,- 0.655087989333247 0.661262715720724 0.658175352526986 32.9952081573339 32.4796366799598 65.4748448372937 113 76 4339955 4340075 -
TSS_16068_storz,4118680,+ 0.823030702921854 0.804488945430236 0.813759824176045 29.6008448370636 31.1958565740325 60.7967014110961 122 69 4118560 4118680 +
TSS_15133_storz,3908723,+ 0.667464376073705 0.699960222712695 0.6837122993932 42.0801217498222 39.6688052731525 81.7489270229747 166 77 3908603 3908723 +
TSS_13473_wanner,3479257,- 0.998388960086722 1.13278566253983 1.06558731131328 43.7273863023064 40.6958293578943 84.4232156602007 153 82 3479257 3479377 -
TSS_15429_storz,3966153,+ 0.679836930331952 0.682074413308277 0.680955671820115 48.3197602062016 46.5370288398633 94.8567890460649 135 75 3966033 3966153 +
TSS_2422_storz,637421,+ 0.757571628472201 0.695714530708372 0.726643079590287 16.5225626324925 17.9087324776853 34.4312951101778 70 39 637301 637421 +
TSS_10895_storz,2893333,+ 0.70442352142309 0.61370954438196 0.659066532902525 59.2016896741271 63.4187372328068 122.620426906934 201 121 2893213 2893333 +
TSS_7625_storz,1986182,- 0.771645503038074 0.772169051230317 0.771907277134195 21.3645220746428 20.668859705429 42.0333817800718 74 40 1986182 1986302 -
TSS_7725_storz,2021539,- 0.811306798734664 0.979606833715378 0.895456816225021 9.7837530996028 7.5101136196745 17.2938667192773 43 23 2021539 2021659 -
TSS_7047_regulondb,1843035,- 0.82118323903558 0.749909004933364 0.785546121984472 32.0467831119643 34.0201728070725 66.0669559190368 128 59 1843035 1843155 -
TSS_8166_storz,2120405,+ 0.610939320075021 0.636523918904239 0.62373161948963 46.1733245772071 41.8512314532288 88.0245560304359 175 92 2120285 2120405 +
TSS_9248_storz,2445650,- 0.933193266150201 0.837877793068706 0.885535529609453 42.5293757186816 49.4255340781997 91.9549097968812 188 92 2445650 2445770 -
TSS_9847_regulondb,2619175,+ 0.91480923713908 0.863156403039165 0.888982820089123 23.5608748112884 25.2262790814707 48.7871538927591 63 35 2619055 2619175 +
TSS_10219_storz,2713700,+ 0.747055656284537 0.706380537450939 0.726718096867738 14.8752980800083 15.7904953029053 30.6657933829137 69 32 2713580 2713700 +
TSS_307_storz,75747,- 0.716391874425471 0.633086608178851 0.674739241302161 32.0467831119643 32.8005817064416 64.8473648184059 94 51 75747 75867 -
TSS_6878_regulondb,1796604,- 0.742015324408344 0.683418383909615 0.712716854158979 40.7323598432443 43.8410906174161 84.5734504606604 143 75 1796604 1796724 -
TSS_8234_storz_regulondb,2152003,+ 0.811869696362746 0.811497393271143 0.811683544816944 50.9154498040554 48.9120220358288 99.8274718398841 162 88 2151883 2152003 +
TSS_18077_storz,4626609,+ 0.686385831786085 0.694665094415378 0.690525463100731 29.8005132676677 31.0032895581434 60.8038028258111 120 66 4626489 4626609 +
TSS_9299_storz,2459972,- 0.746752127203624 0.611771174176858 0.679261650690241 58.0535961981534 62.4559021533614 120.509498351515 217 117 2459972 2460092 -
TSS_13616_storz,3517557,- 0.638687711881777 0.727023648775824 0.6828556803288 21.4144391822939 16.2398183399799 37.6542575222738 83 38 3517557 3517677 -
TSS_13116_storz,3423529,- 0.689799767463356 0.644670258074877 0.667235012769117 74.1768219694376 70.864661847185 145.041483816623 294 147 NA NA NA
TSS_1236_storz_regulondb,292342,- 0.947705294488669 0.929891381161311 0.93879833782499 22.1631957970594 21.2465607530962 43.4097565501556 83 44 292342 292462 -
TSS_16153_regulondb,4141881,+ 0.65959330636023 0.808768141948482 0.734180724154356 24.8088025025642 22.5945298643198 47.4033323668841 79 53 4141761 4141881 +
TSS_5962_regulondb,1533893,- 0.880231672966309 0.866836616981053 0.873534144973681 36.1399859393491 37.1654340665943 73.3054200059434 131 76 1533893 1534013 -
TSS_7798_storz_regulondb,2037773,+ 0.822363476199937 0.871987215038795 0.847175345619366 23.6107919189394 23.8141209649507 47.4249128838902 83 45 2037653 2037773 +
TSS_7118_storz,1862994,- 0.705425588025674 0.733957624710205 0.719691606367939 35.1416437863284 34.5978738547398 69.7395176410682 160 74 1862994 1863114 -
TSS_11081_storz,2937163,- 0.723036195925788 0.775466844010143 0.749251519967966 47.1217496225768 47.4356749140124 94.5574245365892 176 97 2937163 2937283 -
TSS_2441_storz,638718,- 0.703776554064521 0.667360881909691 0.685568717987106 49.0185997133161 51.0302592106087 100.048858923925 194 98 NA NA NA
